job_label,instance_id,mode,ranking_mode,k,alphabet,trace_len,chain_count,sum_I,eta_pair,lemma1_pass,lemma2_pass,lemma3_pass,all_pass,violation_count,trace
campaign_r1_task0_exhaustive,0,exhaustive,noisy,2,3,4,0,0,0,True,True,True,True,0,"p1,p2,p0,p1"
campaign_r1_task0_exhaustive,1,exhaustive,adv_bias,2,3,4,0,0,0,True,True,True,True,0,"p1,p0,p1,p0"
campaign_r1_task0_exhaustive,2,exhaustive,oracle,2,3,4,0,0,0,True,True,True,True,0,"p2,p1,p0,p0"
campaign_r1_task0_exhaustive,3,exhaustive,near_tie,2,3,4,0,0,0,True,True,True,True,0,"p2,p0,p1,p2"
campaign_r1_task0_exhaustive,4,exhaustive,noisy,2,3,4,0,0,0,True,True,True,True,0,"p1,p0,p2,p2"
campaign_r1_task0_exhaustive,5,exhaustive,adv_bias,2,3,4,0,0,0,True,True,True,True,0,"p0,p2,p2,p1"
campaign_r1_task0_exhaustive,6,exhaustive,oracle,2,3,4,0,0,0,True,True,True,True,0,"p0,p1,p2,p2"
campaign_r1_task0_exhaustive,7,exhaustive,near_tie,2,3,4,0,0,0,True,True,True,True,0,"p1,p2,p0,p0"
campaign_r1_task0_exhaustive,8,exhaustive,noisy,2,3,4,0,0,0,True,True,True,True,0,"p2,p1,p2,p0"
campaign_r1_task0_exhaustive,9,exhaustive,adv_bias,2,3,4,0,0,0,True,True,True,True,0,"p2,p0,p2,p2"
campaign_r1_task0_exhaustive,10,exhaustive,oracle,2,3,4,0,0,0,True,True,True,True,0,"p0,p1,p0,p1"
campaign_r1_task0_exhaustive,11,exhaustive,near_tie,2,3,4,0,0,0,True,True,True,True,0,"p0,p0,p1,p0"
campaign_r1_task0_exhaustive,12,exhaustive,noisy,2,3,4,0,0,0,True,True,True,True,0,"p2,p1,p1,p2"
campaign_r1_task0_exhaustive,13,exhaustive,adv_bias,2,3,4,0,0,0,True,True,True,True,0,"p2,p0,p0,p1"
campaign_r1_task0_exhaustive,14,exhaustive,oracle,2,3,4,0,0,0,True,True,True,True,0,"p1,p1,p2,p0"
campaign_r1_task0_exhaustive,15,exhaustive,near_tie,2,3,4,0,0,0,True,True,True,True,0,"p0,p1,p2,p1"
campaign_r1_task0_exhaustive,16,exhaustive,noisy,2,3,4,0,0,0,True,True,True,True,0,"p0,p1,p1,p1"
campaign_r1_task0_exhaustive,17,exhaustive,adv_bias,2,3,4,0,0,0,True,True,True,True,0,"p1,p1,p2,p1"
